timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32
1778531940.126930,-19770,-29948,-26563,-21228,-13685,4409,13243,-535,-17762,23421,37758,-23453,-21203,-8165,16903,10496,-7536,117,-37619,-15031,-8643,-5805,-19509,631,13184,-1298,22754,14569,-6744,42921,-4133,-11360
1778531940.127930,-16988,-24390,-18926,10308,-9454,-2192,10604,-3904,-20455,21756,40976,-28681,6174,-4993,28753,6415,-3216,5106,-6125,-15441,-2409,-11999,-18867,268,10629,10035,16817,1466,3396,33687,-4344,7496
1778531940.128930,-13300,45068,-5477,39943,2931,-14189,7483,-5303,-2477,20128,25827,-12773,21812,2164,-9,4754,4534,14826,35,48653,6763,-11561,-23336,-33,10036,25863,11969,-174,9825,15957,-9091,25430
1778531940.129930,-9178,36778,7891,20709,18506,-21580,219,-9884,3137,19927,4164,6873,25072,4902,-51755,7368,9663,15001,4385,35071,10860,-12133,-26318,1417,7671,8027,9788,3671,12616,3575,-12561,32915
1778531940.130930,5874,16913,20002,-1257,29175,-30367,-7253,-14238,-2240,22122,-8383,18802,25367,8824,-43916,5250,16312,17054,24302,8190,17418,-16852,-24460,2279,-5394,-19213,6926,-2941,31401,-7476,-18125,34570
1778531940.131930,22474,-7596,22925,1309,37959,-31504,-11629,-14165,23323,22909,-7783,19071,21249,7415,-15589,-5393,18547,9416,22034,-19593,20165,-21270,-21358,720,-25085,-20933,2406,-18803,634,-13890,-24967,26716
1778531940.132930,31961,-8814,29463,-10775,36055,6977,-6728,-10236,29738,22114,-32331,15391,14562,5610,12876,-11893,21881,-20458,18827,-12568,18658,-28028,-10224,-2434,-25878,-6601,-423,-27258,-28763,-11311,-31275,14282
1778531940.133930,24412,-25000,28500,-23615,26398,43752,139,-8343,6115,18713,-55356,11301,11025,1991,42246,-6227,24299,-35880,-35596,-44763,20200,-36215,7676,-5460,-5505,-17617,-2347,-24389,-14428,-7293,-40267,893
1778531940.174087,10525,-53383,22497,-23698,11402,35327,9347,-9834,-16593,11406,-10600,6674,12938,1252,21627,-1000,20605,-17673,-40410,-26195,18083,-45801,22861,-2778,4872,19112,-9397,-11341,-14657,-5262,-48458,-11466
1778531940.175087,2640,3444,6719,-17013,-646,13920,10294,-13508,-34039,7695,32985,-336,10010,8292,5276,-1579,18039,1404,-10404,38077,20755,-45775,35974,-2592,-740,29739,-13056,2421,-5569,-3468,-52392,-18400
